TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	4.566306288541399	0.30038241644767594	-1	True
1.5	2	0	1.1579321766615118	0.30038241644767594	0	True
2.0	3	2	3.842067823338488	0.09468384818758704	0	False
2.0	4	2	3.842067823338488	0.905316151812413	0	True
3.0	5	4	3	0.43799533079202624	1	False
3.0	6	4	3	0.46732082102038675	1	True
3.0	7	3	3	0.030284559017400736	1	False
3.0	8	3	3	0.0643992891701863	1	True
